 2022-02-21 22:30:11,499 - Key.enter
 2022-02-21 22:30:11,685 - Key.enter
 2022-02-21 22:30:11,843 - Key.enter
 2022-02-21 22:30:12,014 - Key.enter
 2022-02-21 22:30:14,193 - 'h'
 2022-02-21 22:30:14,383 - 'e'
 2022-02-21 22:30:14,462 - 'l'
 2022-02-21 22:30:14,589 - 'l'
 2022-02-21 22:30:14,804 - 'o'
 2022-02-21 22:30:15,061 - Key.enter
 2022-02-21 22:39:52,469 - 'h'
 2022-02-21 22:39:52,759 - 'i'
 2022-02-21 22:39:52,911 - 'l'
 2022-02-21 22:39:53,105 - 'y'
 2022-02-21 22:39:53,252 - 'j'
 2022-02-21 22:39:53,897 - Key.enter
 2022-02-21 22:39:54,029 - Key.enter
 2022-02-21 22:39:54,358 - 'j'
 2022-02-21 22:39:54,421 - 'k'
 2022-02-21 22:39:54,688 - 'h'
 2022-02-21 22:39:54,725 - 'j'
